candidate_id,repository,branch,file_path,blob_sha,file_size_bytes,branch_head_sha,branch_head_date,branch_head_author,review_decision,decision_rationale
C01,mcpmark-eval-1031/LJT-Homepage,master,_config.yml,a821cd312f57a4ce18393ca071fc49ad1a7a843f,6735,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Personalised config with Junteng Liu info; authoritative master version
C02,mcpmark-eval-1031/LJT-Homepage,master,README.md,dc0b31ec2a1168d143a514ebeef1f706383e5494,1576,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,LJT personal README replacing template README
C03,mcpmark-eval-1031/LJT-Homepage,master,_pages/about.md,a59203d34d003eb503a5b44592da0931f24de92c,2935,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,"Complete personal bio, education, experience and publications"
C04,mcpmark-eval-1031/LJT-Homepage,master,_pages/cv.md,5820a80fa7c9a9ad45545adaa07f95adb5984b1d,1355,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Personalised CV page for Junteng Liu
C05,mcpmark-eval-1031/LJT-Homepage,master,_pages/publications.md,9d8c264e03b30a81ad3ab05e531ccd9b037358ce,359,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Publications listing page added in final master commit
C06,mcpmark-eval-1031/LJT-Homepage,master,_data/authors.yml,2ded8d2ba172fd0f0e732f9cacc1fd80b0ed4d09,696,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Author profile updated with Junteng Liu details
C07,mcpmark-eval-1031/LJT-Homepage,master,_data/cv.json,87675c5b4e4df24005b9e86d1c3aa5b3fd313906,5948,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,"Full structured CV JSON with education, experience, awards"
C08,mcpmark-eval-1031/LJT-Homepage,master,_publications/2023-arithmetic-peft.md,73357ea5096121dda711b8a48e403cb3cf6f895b,689,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified publication: NeurIPS 2023 PEFT arithmetic paper
C09,mcpmark-eval-1031/LJT-Homepage,master,_publications/2023-ceval.md,666d38fdadcaf535c5d11e1a157405ab192b18fa,991,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified publication: NeurIPS 2023 C-Eval paper
C10,mcpmark-eval-1031/LJT-Homepage,master,_publications/2024-hallucination-mitigation.md,bc34bd20bb1ce0f32cb6a11e20707e7a129784a2,855,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified publication: ICML 2024 hallucination mitigation paper
C11,mcpmark-eval-1031/LJT-Homepage,master,_publications/2024-truthfulness-hyperplane.md,84af3b285684008376212abb25ed6cbc69a67b20,675,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified publication: EMNLP 2024 truthfulness hyperplane paper
C12,mcpmark-eval-1031/LJT-Homepage,master,_publications/2025-chart-vlm.md,b7a696aed55f9cf586d63025a1fec4ec951f1b18,674,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified preprint: 2025 chart VLM perception bottleneck paper
C13,mcpmark-eval-1031/LJT-Homepage,master,_publications/2025-synlogic.md,fbe5e9966ec688d345f21b4c985e04e6b1c73b39,1057,49369cf533c9516822005fb3dd4e5711b7874659,2026-03-29T13:01:52Z,bugmaker00,KEPT,Verified preprint: 2025 SynLogic verifiable reasoning paper
C14,mcpmark-eval-1031/LJT-Homepage,read-more,_config.yml,78cfdd3b6d823a5026046bbea4295cf7023fae62,7743,14bf751f96a45a9767c31e5bb79f270d2fec0b78,2017-07-21T22:24:11Z,staeiou,REJECTED,Enables read_more=enabled; master intentionally disables it for clean academic presentation
C15,mcpmark-eval-1031/LJT-Homepage,read-more,_pages/about.md,e7185db641c56cd25e1d708f736545b33dfcf15c,7549,14bf751f96a45a9767c31e5bb79f270d2fec0b78,2017-07-21T22:24:11Z,staeiou,REJECTED,Template placeholder about page; superseded by LJT personal content in master
C16,mcpmark-eval-1031/LJT-Homepage,fix-teaching,_config.yml,5713f2f6528557d2171ba6b6a59d24cf83883506,7657,d06c8f50f6b9247805370650c185a1eb3e74023d,2017-07-21T20:58:19Z,staeiou,REJECTED,Old template _config.yml; teaching bug already absent from LJT master
C17,mcpmark-eval-1031/LJT-Homepage,fix-teaching,_pages/about.md,e7185db641c56cd25e1d708f736545b33dfcf15c,7549,d06c8f50f6b9247805370650c185a1eb3e74023d,2017-07-21T20:58:19Z,staeiou,REJECTED,Template placeholder; superseded by LJT personal content in master
C18,mcpmark-eval-1031/LJT-Homepage,fix-teaching,_teaching/2014-spring-teaching-1.md,e354740888ded7a67666d49584933652a403ccf6,354,d06c8f50f6b9247805370650c185a1eb3e74023d,2017-07-21T20:58:19Z,staeiou,REJECTED,Sample teaching stub; LJT has no teaching entries; not applicable
C19,mcpmark-eval-1031/LJT-Homepage,fix-teaching,_teaching/2015-spring-teaching-2.md,58e1ddb96e7bbca13d724fab943bec3a5ecb0cfc,343,d06c8f50f6b9247805370650c185a1eb3e74023d,2017-07-21T20:58:19Z,staeiou,REJECTED,Sample teaching stub; LJT has no teaching entries; not applicable
C20,mcpmark-eval-1031/LJT-Homepage,#137,_config.yml,e63251be0a0716a4f5ecbe45e30ec9feb9c349f1,9794,0ccd8733b49a907f483e618f8142ef7ff626c00d,2024-01-01T00:00:00Z,rjzupkoii,SUPERSEDED,Newer template config; some elements adopted in master but master config is LJT-custom
C21,mcpmark-eval-1031/LJT-Homepage,#137,README.md,04fd46c17593b1c188fdceb45a12f9a76018e13d,5206,0ccd8733b49a907f483e618f8142ef7ff626c00d,2024-01-01T00:00:00Z,rjzupkoii,REJECTED,Template README; replaced by LJT personal README in master
C22,mcpmark-eval-1031/LJT-Homepage,#137,_pages/about.md,e7185db641c56cd25e1d708f736545b33dfcf15c,7549,0ccd8733b49a907f483e618f8142ef7ff626c00d,2024-01-01T00:00:00Z,rjzupkoii,REJECTED,Template placeholder about page; superseded by LJT personal content
